,date,possession,captain,match_report,attendance,formation,opponent,round,dayofweek,goals_against,xg_against,referee,goals_for,venue,xg_for,result
0,2023-08-12,46,Iker Muniain,Match Report,"48,927",4-2-3-1,Real Madrid,Matchweek 1,Sat,2,0.9,Jesús Gil,0,Home,0.4,L
1,2023-08-19,37,Óscar de Marcos,Match Report,"20,704",4-2-3-1,Osasuna,Matchweek 2,Sat,0,1.3,José Luis Munuera,2,Away,1.5,W
2,2023-08-27,48,Iker Muniain,Match Report,"44,340",4-2-3-1,Betis,Matchweek 3,Sun,2,0.4,César Soto,4,Home,2.9,W
3,2023-09-03,67,Iñaki Williams,Match Report,"17,043",4-2-3-1,Mallorca,Matchweek 4,Sun,0,0.4,Jorge Figueroa,0,Away,0.6,D
4,2023-09-16,65,Óscar de Marcos,Match Report,"42,881",4-2-3-1,Cádiz,Matchweek 5,Sat,0,0.3,Guillermo Cuadra,3,Home,2.9,W
5,2023-09-22,56,Óscar de Marcos,Match Report,"19,421",4-2-3-1,Alavés,Matchweek 6,Fri,0,1.1,Alejandro Muñíz,2,Away,1.7,W
6,2023-09-27,49,Óscar de Marcos,Match Report,"43,091",4-2-3-1,Getafe,Matchweek 7,Wed,2,1.4,Isidro Díaz de Mera,2,Home,0.7,D
7,2023-09-30,49,Iker Muniain,Match Report,"38,229",4-2-3-1,Real Sociedad,Matchweek 8,Sat,3,1.4,Jesús Gil,0,Away,1.8,L
8,2023-10-06,59,Óscar de Marcos,Match Report,"43,677",4-2-3-1,Almería,Matchweek 9,Fri,0,0.1,Víctor García,3,Home,1.9,W
9,2023-10-22,38,Óscar de Marcos,Match Report,"38,194",4-2-3-1,Barcelona,Matchweek 10,Sun,1,1.3,Juan Martínez,0,Away,0.4,L
10,2023-10-29,57,Óscar de Marcos,Match Report,"46,563",4-2-3-1,Valencia,Matchweek 11,Sun,2,1.9,Jorge Figueroa,2,Home,1.9,D
11,2023-11-05,43,Óscar de Marcos,Match Report,"18,709",4-2-3-1,Villarreal,Matchweek 12,Sun,2,2.1,Guillermo Cuadra,3,Away,2.3,W
12,2023-11-10,58,Óscar de Marcos,Match Report,"44,435",4-2-3-1,Celta Vigo,Matchweek 13,Fri,3,2.1,Juan Pulido,4,Home,4.6,W
13,2023-11-27,40,Óscar de Marcos,Match Report,"13,123",4-2-3-1,Girona,Matchweek 14,Mon,1,1.3,Mario Melero,1,Away,1.5,D
14,2023-12-02,51,Óscar de Marcos,Match Report,"44,689",4-2-3-1,Rayo Vallecano,Matchweek 15,Sat,0,0.5,Francisco Hernández,4,Home,1.3,W
15,2023-12-11,52,Óscar de Marcos,Match Report,"12,849",4-2-3-1,Granada,Matchweek 16,Mon,1,0.7,Miguel Ángel Ortiz Arias,1,Away,1.1,D
16,2023-12-16,,,Head-to-Head,,,Atlético Madrid,Matchweek 17,Sat,,,,,Home,,
17,2023-12-20,,,Head-to-Head,,,Las Palmas,Matchweek 18,Wed,,,,,Home,,
18,2024-01-04,,,Head-to-Head,,,Sevilla,Matchweek 19,Thu,,,,,Away,,
19,2024-01-14,,,Head-to-Head,,,Real Sociedad,Matchweek 20,Sun,,,,,Home,,
20,2024-01-21,,,Head-to-Head,,,Valencia,Matchweek 21,Sun,,,,,Away,,
21,2024-01-28,,,Head-to-Head,,,Cádiz,Matchweek 22,Sun,,,,,Away,,
22,2024-02-04,,,Head-to-Head,,,Mallorca,Matchweek 23,Sun,,,,,Home,,
23,2024-02-11,,,Head-to-Head,,,Almería,Matchweek 24,Sun,,,,,Away,,
24,2024-02-18,,,Head-to-Head,,,Girona,Matchweek 25,Sun,,,,,Home,,
25,2024-02-25,,,Head-to-Head,,,Betis,Matchweek 26,Sun,,,,,Away,,
26,2024-03-03,,,Head-to-Head,,,Barcelona,Matchweek 27,Sun,,,,,Home,,
27,2024-03-10,,,Head-to-Head,,,Las Palmas,Matchweek 28,Sun,,,,,Away,,
28,2024-03-17,,,Head-to-Head,,,Alavés,Matchweek 29,Sun,,,,,Home,,
29,2024-03-31,,,Head-to-Head,,,Real Madrid,Matchweek 30,Sun,,,,,Away,,
30,2024-04-14,,,Head-to-Head,,,Villarreal,Matchweek 31,Sun,,,,,Home,,
31,2024-04-21,,,Head-to-Head,,,Granada,Matchweek 32,Sun,,,,,Home,,
32,2024-04-28,,,Head-to-Head,,,Atlético Madrid,Matchweek 33,Sun,,,,,Away,,
33,2024-05-05,,,Head-to-Head,,,Getafe,Matchweek 34,Sun,,,,,Away,,
34,2024-05-12,,,Head-to-Head,,,Osasuna,Matchweek 35,Sun,,,,,Home,,
35,2024-05-15,,,Head-to-Head,,,Celta Vigo,Matchweek 36,Wed,,,,,Away,,
36,2024-05-19,,,Head-to-Head,,,Sevilla,Matchweek 37,Sun,,,,,Home,,
37,2024-05-26,,,Head-to-Head,,,Rayo Vallecano,Matchweek 38,Sun,,,,,Away,,
