,date,possession,captain,match_report,attendance,formation,opponent,round,dayofweek,goals_against,xg_against,referee,goals_for,venue,xg_for,result
0,2021-08-16,49,Iker Muniain,Match Report,"9,145",4-4-2,Elche,Matchweek 1,Mon,0,1.1,Adrián Cordero,0,Away,0.6,D
1,2021-08-21,33,Iker Muniain,Match Report,"9,394",4-4-2,Barcelona,Matchweek 2,Sat,1,1.0,Juan Martínez,1,Home,1.4,D
2,2021-08-28,38,Iker Muniain,Match Report,"5,492",4-4-2,Celta Vigo,Matchweek 3,Sat,0,1.1,Antonio Matéu Lahoz,1,Away,1.4,W
3,2021-09-11,49,Iker Muniain,Match Report,"14,566",4-4-2,Mallorca,Matchweek 4,Sat,0,0.2,Jorge Figueroa,2,Home,1.4,W
4,2021-09-18,45,Iker Muniain,Match Report,"38,798",4-4-2,Atlético Madrid,Matchweek 5,Sat,0,0.9,Jesús Gil,0,Away,1.0,D
5,2021-09-21,47,Iker Muniain,Match Report,"16,236",4-4-2,Rayo Vallecano,Matchweek 6,Tue,2,1.0,José Luis Munuera,1,Home,0.9,L
6,2021-09-25,48,Iker Muniain,Match Report,"13,680",4-4-2,Valencia,Matchweek 7,Sat,1,0.9,Alejandro Hernández,1,Away,0.8,D
7,2021-10-01,55,Iker Muniain,Match Report,"28,665",4-4-2,Alavés,Matchweek 8,Fri,0,0.9,Carlos del Cerro,1,Home,2.0,W
8,2021-10-23,52,Iker Muniain,Match Report,"38,698",4-4-2,Villarreal,Matchweek 10,Sat,1,0.5,Guillermo Cuadra,2,Home,2.8,W
9,2021-10-26,54,Iker Muniain,Match Report,"16,196",4-4-2,Espanyol,Matchweek 11,Tue,1,1.3,Miguel Ángel Ortiz Arias,1,Away,3.3,D
10,2021-10-31,46,Iker Muniain,Match Report,"37,066",4-4-2,Real Sociedad,Matchweek 12,Sun,1,1.1,Juan Martínez,1,Away,1.0,D
11,2021-11-05,70,Iker Muniain,Match Report,"37,581",4-4-2,Cádiz,Matchweek 13,Fri,1,0.5,Santiago Jaime,0,Home,0.5,L
12,2021-11-19,51,Iker Muniain,Match Report,"15,230",4-4-2,Levante,Matchweek 14,Fri,0,0.5,José Luis Munuera,0,Away,0.5,D
13,2021-11-26,63,Iker Muniain,Match Report,"32,651",4-4-2,Granada,Matchweek 15,Fri,2,1.1,Adrián Cordero,2,Home,1.1,D
14,2021-12-01,38,Iker Muniain,Match Report,"33,627",4-4-2,Real Madrid,Matchweek 9,Wed,1,1.8,Isidro Díaz de Mera,0,Away,2.4,L
15,2021-12-06,55,Óscar de Marcos,Match Report,"9,176",4-4-2,Getafe,Matchweek 16,Mon,0,1.2,Jorge Figueroa,0,Away,0.5,D
16,2021-12-11,55,Iker Muniain,Match Report,"36,737",4-4-2,Sevilla,Matchweek 17,Sat,1,0.2,Alejandro Hernández,0,Home,1.4,L
17,2021-12-19,44,Iker Muniain,Match Report,"38,002",4-4-2,Betis,Matchweek 18,Sun,2,2.1,Jesús Gil,3,Home,1.3,W
18,2021-12-22,41,Iker Muniain,Match Report,"42,722",4-4-2,Real Madrid,Matchweek 21,Wed,2,1.1,César Soto,1,Home,1.0,L
19,2022-01-03,43,Iker Muniain,Match Report,"16,206",4-4-2,Osasuna,Matchweek 19,Mon,1,0.9,Miguel Ángel Ortiz Arias,3,Away,1.4,W
20,2022-01-09,58,Iker Muniain,Match Report,"14,103",4-4-2,Alavés,Matchweek 20,Sun,0,0.5,Santiago Jaime,0,Away,0.8,D
21,2022-01-23,33,Mikel Balenziaga,Match Report,"9,034",4-4-2,Rayo Vallecano,Matchweek 22,Sun,0,2.0,Adrián Cordero,1,Away,0.4,W
22,2022-02-07,44,Mikel Balenziaga,Match Report,"30,753",4-4-2,Espanyol,Matchweek 23,Mon,1,0.6,César Soto,2,Home,0.8,W
23,2022-02-14,55,Iker Muniain,Match Report,"12,904",4-4-2,Mallorca,Matchweek 24,Mon,3,1.9,Isidro Díaz de Mera,2,Away,1.6,L
24,2022-02-20,48,Iker Muniain,Match Report,"40,698",4-4-2,Real Sociedad,Matchweek 25,Sun,0,0.4,Juan Martínez,4,Home,2.8,W
25,2022-02-27,29,Raúl García,Match Report,"69,770",4-4-2,Barcelona,Matchweek 26,Sun,4,3.1,Guillermo Cuadra,0,Away,0.3,L
26,2022-03-07,50,Iker Muniain,Match Report,"29,485",4-4-2,Levante,Matchweek 27,Mon,1,0.5,Alejandro Muñíz,3,Home,3.1,W
27,2022-03-13,49,Iker Muniain,Match Report,"48,876",4-4-2,Betis,Matchweek 28,Sun,1,0.7,Antonio Matéu Lahoz,0,Away,0.5,L
28,2022-03-18,66,Iker Muniain,Match Report,"37,367",4-4-2,Getafe,Matchweek 29,Fri,1,0.4,Jesús Gil,1,Home,2.0,D
29,2022-04-03,48,Iker Muniain,Match Report,"34,572",4-4-2,Elche,Matchweek 30,Sun,1,0.5,Jorge Figueroa,2,Home,1.9,W
30,2022-04-09,40,Iker Muniain,Match Report,"16,603",4-4-2,Villarreal,Matchweek 31,Sat,1,1.3,Carlos del Cerro,1,Away,1.8,D
31,2022-04-17,50,Iker Muniain,Match Report,"35,541",4-4-2,Celta Vigo,Matchweek 32,Sun,2,0.4,Alejandro Hernández,0,Home,0.5,L
32,2022-04-21,42,Iker Muniain,Match Report,"17,360",4-4-2,Cádiz,Matchweek 33,Thu,2,3.1,Valentín Pizarro,3,Away,1.6,W
33,2022-04-30,43,Iker Muniain,Match Report,"43,398",4-4-2,Atlético Madrid,Matchweek 34,Sat,0,0.7,Antonio Matéu Lahoz,2,Home,1.3,W
34,2022-05-07,59,Iker Muniain,Match Report,"41,091",4-4-2,Valencia,Matchweek 35,Sat,0,0.1,Isidro Díaz de Mera,0,Home,1.3,D
35,2022-05-10,59,Iker Muniain,Match Report,"16,638",4-4-2,Granada,Matchweek 36,Tue,1,0.9,José Sánchez,0,Away,0.3,L
36,2022-05-15,45,Iker Muniain,Match Report,"37,869",4-4-2,Osasuna,Matchweek 37,Sun,0,0.9,Jorge Figueroa,2,Home,1.1,W
37,2022-05-22,34,Iker Muniain,Match Report,"31,305",4-4-2,Sevilla,Matchweek 38,Sun,1,1.2,Carlos del Cerro,0,Away,0.7,L
