,date,dayofweek,goals_against,possession,round,xg_for,captain,goals_for,opponent,match_report,referee,venue,attendance,xg_against,result,formation
0,2022-08-14,Sun,2,33,Matchweek 1,0.7,Srđan Babić,1,Real Madrid,Match Report,Juan Martínez,Home,"14,386",2.1,L,5-3-2
1,2022-08-22,Mon,1,46,Matchweek 2,0.7,Srđan Babić,1,Elche,Match Report,Isidro Díaz de Mera,Away,"23,361",1.0,D,3-4-1-2
2,2022-08-27,Sat,1,33,Matchweek 3,2.3,Srđan Babić,2,Sevilla,Match Report,Jesús Gil,Home,"13,788",1.0,W,3-4-1-2
3,2022-09-05,Mon,1,49,Matchweek 4,0.5,César de la Hoz,0,Valladolid,Match Report,Pablo González,Away,"20,260",1.2,L,4-2-3-1
4,2022-09-12,Mon,1,61,Matchweek 5,0.2,Srđan Babić,0,Osasuna,Match Report,Javier Villanueva,Home,"12,397",2.0,L,4-3-3
5,2022-09-17,Sat,1,56,Matchweek 6,0.4,Srđan Babić,0,Mallorca,Match Report,Juan Martínez,Away,"12,687",0.6,L,5-3-2
6,2022-09-30,Fri,4,42,Matchweek 7,0.7,Srđan Babić,0,Athletic Club,Match Report,Juan Pulido,Away,"42,110",2.1,L,5-3-2
7,2022-10-08,Sat,1,37,Matchweek 8,1.2,César de la Hoz,3,Rayo Vallecano,Match Report,Pablo González,Home,"10,783",0.8,W,4-2-3-1
8,2022-10-16,Sun,3,46,Matchweek 9,0.8,César de la Hoz,1,Betis,Match Report,Alejandro Muñíz,Away,"46,112",2.5,L,4-3-3
9,2022-10-20,Thu,2,35,Matchweek 10,1.8,César de la Hoz,3,Girona,Match Report,Guillermo Cuadra,Home,"11,194",2.8,W,4-2-3-1
10,2022-10-23,Sun,2,48,Matchweek 11,1.0,Lucas Robertone,1,Villarreal,Match Report,Ricardo de Burgos,Away,"13,816",1.0,L,5-3-2
11,2022-10-29,Sat,1,61,Matchweek 12,2.3,César de la Hoz,3,Celta Vigo,Match Report,Carlos del Cerro,Home,"11,080",0.3,W,4-1-4-1
12,2022-11-05,Sat,2,30,Matchweek 13,0.5,Lucas Robertone,0,Barcelona,Match Report,Pablo González,Away,"92,605",4.0,L,5-3-2
13,2022-11-09,Wed,0,54,Matchweek 14,0.5,César de la Hoz,1,Getafe,Match Report,Alejandro Muñíz,Home,"11,454",0.4,W,4-1-4-1
14,2022-12-30,Fri,1,51,Matchweek 15,2.3,César de la Hoz,1,Cádiz,Match Report,Juan Martínez,Away,"17,345",1.3,D,4-1-4-1
15,2023-01-08,Sun,2,44,Matchweek 16,0.6,César de la Hoz,0,Real Sociedad,Match Report,Alberola Rojas,Home,"12,020",1.7,L,4-3-3
16,2023-01-15,Sun,1,55,Matchweek 17,1.4,Lucas Robertone,1,Atlético Madrid,Match Report,José Sánchez,Home,"14,128",2.4,D,4-3-3
17,2023-01-23,Mon,2,43,Matchweek 18,1.4,Lucas Robertone,2,Valencia,Match Report,Jesús Gil,Away,"33,442",1.9,D,4-3-3
18,2023-01-27,Fri,1,56,Matchweek 19,2.1,César de la Hoz,3,Espanyol,Match Report,Javier Villanueva,Home,"11,629",0.8,W,4-3-3
19,2023-02-06,Mon,2,51,Matchweek 20,1.2,Lucas Robertone,0,Rayo Vallecano,Match Report,César Soto,Away,"11,783",1.1,L,4-3-3
20,2023-02-11,Sat,3,52,Matchweek 21,2.3,Srđan Babić,2,Betis,Match Report,Alberola Rojas,Home,"14,288",2.5,L,4-2-3-1
21,2023-02-17,Fri,6,48,Matchweek 22,1.8,César de la Hoz,2,Girona,Match Report,Valentín Pizarro,Away,"8,879",3.0,L,4-3-3
22,2023-02-26,Sun,0,28,Matchweek 23,1.0,César de la Hoz,1,Barcelona,Match Report,Miguel Ángel Ortiz Arias,Home,"15,279",1.4,W,4-4-2
23,2023-03-04,Sat,2,29,Matchweek 24,0.4,César de la Hoz,0,Villarreal,Match Report,Pablo González,Home,"13,311",2.1,L,4-4-2
24,2023-03-12,Sun,2,44,Matchweek 25,1.1,Srđan Babić,1,Sevilla,Match Report,Ricardo de Burgos,Away,"37,848",3.0,L,4-2-3-1
25,2023-03-18,Sat,1,66,Matchweek 26,2.4,César de la Hoz,1,Cádiz,Match Report,Carlos del Cerro,Home,"12,183",1.4,D,4-2-3-1
26,2023-04-02,Sun,2,43,Matchweek 27,1.0,Srđan Babić,2,Celta Vigo,Match Report,Alejandro Hernández,Away,"14,011",2.0,D,4-4-2
27,2023-04-09,Sun,1,40,Matchweek 28,0.9,Srđan Babić,2,Valencia,Match Report,José Sánchez,Home,"14,309",1.3,W,4-1-3-2
28,2023-04-16,Sun,2,36,Matchweek 29,0.2,Srđan Babić,1,Atlético Madrid,Match Report,Isidro Díaz de Mera,Away,"59,204",2.3,L,3-4-3
29,2023-04-22,Sat,2,53,Matchweek 30,0.8,Srđan Babić,1,Athletic Club,Match Report,Valentín Pizarro,Home,"13,271",1.7,L,4-2-3-1
30,2023-04-26,Wed,1,54,Matchweek 31,1.9,César de la Hoz,2,Getafe,Match Report,Alberola Rojas,Away,"10,260",1.6,W,4-3-3
31,2023-04-29,Sat,4,32,Matchweek 32,1.3,César de la Hoz,2,Real Madrid,Match Report,Guillermo Cuadra,Away,"58,036",2.8,L,4-5-1
32,2023-05-02,Tue,1,46,Matchweek 33,1.7,César de la Hoz,2,Elche,Match Report,Alejandro Hernández,Home,"13,352",1.0,W,4-3-3
33,2023-05-13,Sat,3,44,Matchweek 34,0.5,César de la Hoz,1,Osasuna,Match Report,Antonio Matéu,Away,"19,747",1.9,L,4-3-3
34,2023-05-20,Sat,0,54,Matchweek 35,1.8,Srđan Babić,3,Mallorca,Match Report,Carlos del Cerro,Home,"12,791",0.8,W,4-3-3
35,2023-05-23,Tue,1,28,Matchweek 36,0.1,César de la Hoz,0,Real Sociedad,Match Report,Pablo González,Away,"31,574",1.9,L,4-2-3-1
36,2023-05-28,Sun,0,49,Matchweek 37,1.7,Srđan Babić,0,Valladolid,Match Report,Alberola Rojas,Home,"14,608",0.5,D,4-3-3
37,2023-06-04,Sun,3,37,Matchweek 38,1.8,Srđan Babić,3,Espanyol,Match Report,César Soto,Away,"14,213",0.6,D,4-3-3
