,date,dayofweek,goals_against,possession,round,xg_for,captain,goals_for,opponent,match_report,referee,venue,attendance,xg_against,result,formation
0,2019-08-17,Sat,0,48,Matchweek 1,1.7,René Román,3,Albacete,Match Report,Saúl Ais,Home,"7,395",0.1,W,4-4-2
1,2019-08-24,Sat,1,55,Matchweek 2,1.9,René Román,1,Racing Sant,Match Report,Oliver De La Fuente,Away,"11,402",0.5,D,4-2-3-1
2,2019-08-31,Sat,0,36,Matchweek 3,2.0,René Román,1,Huesca,Match Report,Dámaso Arcediano,Home,"9,542",0.6,W,4-2-3-1
3,2019-09-07,Sat,0,50,Matchweek 4,1.0,Lucien Owona,1,Málaga,Match Report,Rubén Ávalos,Away,"18,068",1.0,W,4-2-3-1
4,2019-09-14,Sat,0,42,Matchweek 5,1.4,René Román,3,Las Palmas,Match Report,Aitor Gorostegui,Away,"10,077",0.4,W,4-2-3-1
5,2019-09-17,Tue,1,49,Matchweek 6,2.0,René Román,3,Girona,Match Report,José López,Home,"11,034",0.6,W,4-2-3-1
6,2019-09-21,Sat,1,43,Matchweek 7,0.7,René Román,1,Rayo Vallecano,Match Report,Daniel Ocón,Away,"9,098",1.8,D,4-2-3-1
7,2019-09-29,Sun,2,62,Matchweek 8,1.1,René Román,1,Cádiz,Match Report,Daniel Trujillo,Home,"13,082",1.0,L,4-2-3-1
8,2019-10-03,Thu,4,49,Matchweek 9,0.8,René Román,2,Sporting Gijón,Match Report,Álvaro Moreno,Away,"16,310",1.6,L,4-2-3-1
9,2019-10-06,Sun,0,35,Matchweek 10,0.5,René Román,0,La Coruña,Match Report,Gorka Sagues,Away,"15,611",0.6,D,4-2-3-1
10,2019-10-12,Sat,0,58,Matchweek 11,1.0,René Román,0,Lugo,Match Report,Iosu Galech,Home,"10,246",0.8,D,4-2-3-1
11,2019-10-19,Sat,2,55,Matchweek 12,1.3,René Román,2,Alcorcón,Match Report,Isidro Díaz de Mera,Away,"2,611",1.7,D,4-2-3-1
12,2019-10-27,Sun,2,56,Matchweek 13,1.3,René Román,3,Extremadura,Match Report,Javier Villanueva,Home,"8,943",1.2,W,4-2-3-1
13,2019-11-01,Fri,0,46,Matchweek 14,0.2,René Román,0,Oviedo,Match Report,Dámaso Arcediano,Away,"11,350",0.7,D,4-2-3-1
14,2019-11-10,Sun,1,49,Matchweek 15,1.4,René Román,1,Zaragoza,Match Report,Rubén Ávalos,Home,"10,403",0.9,D,4-2-3-1
15,2019-11-16,Sat,1,49,Matchweek 16,1.0,René Román,1,Elche,Match Report,Oliver De La Fuente,Away,"9,691",0.3,D,4-1-4-1
16,2019-11-24,Sun,0,36,Matchweek 17,2.2,Lucien Owona,2,Numancia,Match Report,Isidro Díaz de Mera,Home,"9,538",0.8,W,4-1-4-1
17,2019-11-30,Sat,1,46,Matchweek 18,2.2,Lucien Owona,3,Tenerife,Match Report,Javier Villanueva,Away,"12,292",0.7,W,4-1-4-1
18,2019-12-07,Sat,1,39,Matchweek 19,2.0,Fernando,3,CD Mirandés,Match Report,Víctor Areces,Home,"8,768",0.8,W,4-4-2
