,date,dayofweek,goals_against,possession,round,xg_for,captain,goals_for,opponent,match_report,referee,venue,attendance,xg_against,result,formation
0,2023-08-11,Fri,2,60,Matchweek 1,1.4,Lucas Robertone,0,Rayo Vallecano,Match Report,Alberola Rojas,Home,"14,837",2.1,L,4-2-3-1
1,2023-08-19,Sat,3,43,Matchweek 2,1.3,Lucas Robertone,1,Real Madrid,Match Report,José Sánchez,Home,"17,561",2.0,L,4-2-3-1
2,2023-08-26,Sat,1,48,Matchweek 3,0.3,Juan Brandáriz,1,Cádiz,Match Report,Víctor García,Away,"18,653",1.6,D,4-2-3-1
3,2023-09-01,Fri,3,63,Matchweek 4,3.0,Lucas Robertone,2,Celta Vigo,Match Report,Ricardo de Burgos,Home,"14,196",1.5,L,4-2-3-1
4,2023-09-17,Sun,2,38,Matchweek 5,1.5,Lucas Robertone,1,Villarreal,Match Report,Francisco Hernández,Away,"18,467",0.9,L,4-2-3-1
5,2023-09-23,Sat,2,61,Matchweek 6,2.6,Lucas Robertone,2,Valencia,Match Report,Mateo Busquets,Home,"14,266",0.8,D,4-2-3-1
6,2023-09-26,Tue,5,54,Matchweek 7,1.8,Gonzalo Melero,1,Sevilla,Match Report,Guillermo Cuadra,Away,"35,729",2.2,L,4-4-2
7,2023-10-01,Sun,3,49,Matchweek 8,2.9,Gonzalo Melero,3,Granada,Match Report,Pablo González,Home,"14,264",2.9,D,4-3-3
8,2023-10-06,Fri,3,41,Matchweek 9,0.1,Adri Embarba,0,Athletic Club,Match Report,Víctor García,Away,"43,677",1.9,L,4-4-2
9,2023-10-22,Sun,5,34,Matchweek 10,1.0,Lucas Robertone,2,Girona,Match Report,Miguel Ángel Ortiz Arias,Away,"12,884",1.9,L,4-2-3-1
10,2023-10-28,Sat,2,41,Matchweek 11,0.3,Lucas Robertone,1,Las Palmas,Match Report,Francisco Hernández,Home,"12,132",0.9,L,4-2-3-1
11,2023-11-05,Sun,1,44,Matchweek 12,0.5,Lucas Robertone,0,Alavés,Match Report,Juan Pulido,Away,"16,380",2.4,L,4-2-3-1
12,2023-11-11,Sat,3,47,Matchweek 13,0.4,Lucas Robertone,1,Real Sociedad,Match Report,Isidro Díaz de Mera,Home,"13,016",2.4,L,4-2-3-1
13,2023-11-25,Sat,2,47,Matchweek 14,1.8,Lucas Robertone,1,Getafe,Match Report,Alejandro Hernández,Away,"10,906",1.2,L,4-2-3-1
14,2023-12-03,Sun,0,61,Matchweek 15,2.4,Lucas Robertone,0,Betis,Match Report,Alejandro Muñíz,Home,"14,253",0.5,D,4-2-3-1
15,2023-12-10,Sun,2,43,Matchweek 16,1.3,Lucas Robertone,1,Atlético Madrid,Match Report,Ricardo de Burgos,Away,"55,473",2.2,L,3-4-1-2
16,2023-12-17,Sun,,,Matchweek 17,,,,Mallorca,Head-to-Head,,Home,,,,
17,2023-12-20,Wed,,,Matchweek 18,,,,Barcelona,Head-to-Head,,Away,,,,
18,2024-01-04,Thu,,,Matchweek 19,,,,Osasuna,Head-to-Head,,Away,,,,
19,2024-01-14,Sun,,,Matchweek 20,,,,Girona,Head-to-Head,,Home,,,,
20,2024-01-21,Sun,,,Matchweek 21,,,,Real Madrid,Head-to-Head,,Away,,,,
21,2024-01-28,Sun,,,Matchweek 22,,,,Alavés,Head-to-Head,,Home,,,,
22,2024-02-04,Sun,,,Matchweek 23,,,,Valencia,Head-to-Head,,Away,,,,
23,2024-02-11,Sun,,,Matchweek 24,,,,Athletic Club,Head-to-Head,,Home,,,,
24,2024-02-18,Sun,,,Matchweek 25,,,,Granada,Head-to-Head,,Away,,,,
25,2024-02-25,Sun,,,Matchweek 26,,,,Atlético Madrid,Head-to-Head,,Home,,,,
26,2024-03-03,Sun,,,Matchweek 27,,,,Celta Vigo,Head-to-Head,,Away,,,,
27,2024-03-10,Sun,,,Matchweek 28,,,,Sevilla,Head-to-Head,,Home,,,,
28,2024-03-17,Sun,,,Matchweek 29,,,,Las Palmas,Head-to-Head,,Away,,,,
29,2024-03-31,Sun,,,Matchweek 30,,,,Osasuna,Head-to-Head,,Home,,,,
30,2024-04-14,Sun,,,Matchweek 31,,,,Real Sociedad,Head-to-Head,,Away,,,,
31,2024-04-21,Sun,,,Matchweek 32,,,,Villarreal,Head-to-Head,,Home,,,,
32,2024-04-28,Sun,,,Matchweek 33,,,,Getafe,Head-to-Head,,Home,,,,
33,2024-05-05,Sun,,,Matchweek 34,,,,Rayo Vallecano,Head-to-Head,,Away,,,,
34,2024-05-12,Sun,,,Matchweek 35,,,,Betis,Head-to-Head,,Away,,,,
35,2024-05-15,Wed,,,Matchweek 36,,,,Barcelona,Head-to-Head,,Home,,,,
36,2024-05-19,Sun,,,Matchweek 37,,,,Mallorca,Head-to-Head,,Away,,,,
37,2024-05-26,Sun,,,Matchweek 38,,,,Cádiz,Head-to-Head,,Home,,,,
