,date,dayofweek,goals_against,possession,round,xg_for,captain,goals_for,opponent,match_report,referee,venue,attendance,xg_against,result,formation
0,2018-08-17,Fri,1,44,Matchweek 1,0.1,Joaquín Fernández,0,Cádiz,Match Report,Daniel Trujillo,Away,"13,582",1.3,L,4-2-3-1
1,2018-08-26,Sun,1,40,Matchweek 2,0.9,Joaquín Fernández,1,Tenerife,Match Report,Isidro Díaz de Mera,Home,"6,737",0.6,D,4-2-3-1
2,2018-09-03,Mon,1,59,Matchweek 3,0.7,Ángel Trujillo,0,Málaga,Match Report,Valentín Pizarro,Home,"8,955",0.5,L,4-2-3-1
3,2018-09-08,Sat,3,46,Matchweek 4,1.5,Ángel Trujillo,1,Osasuna,Match Report,David Pérez,Away,"12,765",2.4,L,4-2-3-1
4,2018-09-16,Sun,1,37,Matchweek 5,1.2,René Román,2,Zaragoza,Match Report,Víctor Areces,Home,"7,251",1.1,W,4-2-3-1
5,2018-09-23,Sun,0,37,Matchweek 6,1.5,René Román,2,Numancia,Match Report,César Soto,Away,"3,159",1.2,W,4-2-3-1
6,2018-09-30,Sun,0,51,Matchweek 7,3.3,René Román,2,Reus,Match Report,Juan Pulido,Home,"7,543",0.5,W,4-2-3-1
7,2018-10-06,Sat,1,59,Matchweek 8,0.5,René Román,0,Córdoba,Match Report,Álvaro Moreno,Away,"11,284",1.2,L,4-2-3-1
8,2018-10-13,Sat,0,38,Matchweek 9,2.7,René Román,3,Las Palmas,Match Report,Javier Villanueva,Home,"7,339",0.6,W,4-2-3-1
9,2018-10-21,Sun,1,66,Matchweek 10,3.6,René Román,1,Albacete,Match Report,Daniel Ocón,Away,"8,075",0.9,D,4-2-3-1
10,2018-10-27,Sat,1,36,Matchweek 11,0.5,René Román,0,Granada,Match Report,Dámaso Arcediano,Away,"10,228",1.2,L,4-2-3-1
11,2018-11-04,Sun,1,62,Matchweek 12,1.3,René Román,2,Sporting Gijón,Match Report,Saúl Ais,Home,"7,424",1.1,W,4-2-3-1
12,2018-11-11,Sun,2,54,Matchweek 13,0.7,René Román,0,Majadahonda,Match Report,Aitor Gorostegui,Away,"2,216",1.8,L,4-2-3-1
13,2018-11-19,Mon,1,48,Matchweek 14,1.0,René Román,1,La Coruña,Match Report,Rubén Ávalos,Home,"5,977",0.2,D,4-2-3-1
14,2018-11-24,Sat,2,58,Matchweek 15,1.2,René Román,2,Gimnàstic,Match Report,Valentín Pizarro,Away,"6,514",1.0,D,4-2-3-1
15,2018-12-01,Sat,1,60,Matchweek 16,0.7,René Román,1,Extremadura,Match Report,David Pérez,Home,"6,232",0.7,D,4-2-3-1
16,2018-12-08,Sat,1,37,Matchweek 17,0.8,René Román,2,Oviedo,Match Report,Javier Villanueva,Away,"12,408",2.0,W,4-2-3-1
